province;umk_count;workers_count;wasteperday_count
ACEH;494;869;1640.1
SUMATERA UTARA;4448;7675;5280.43
SUMATERA BARAT;1013;2057;2625.3
RIAU;2110;4193;2608.1
JAMBI;941;1730;965.7
SUMATERA SELATAN;1588;3206;3201.74
BENGKULU;488;766;375.43
LAMPUNG;1874;3011;2168.99
KEP. BANGKA BELITUNG;264;536;340.62
KEPULAUAN RIAU;1050;1557;1606.73
DKI JAKARTA;7864;14925;8527.07
JAWA BARAT;21648;45162;13410.01
JAWA TENGAH;14176;26630;15500.91
DI YOGYAKARTA;1260;3206;858.2
JAWA TIMUR;17080;35477;13801.5
BANTEN;3645;8179;7199.63
BALI;1164;3690;2814.89
NUSA TENGGARA BARAT;1143;1833;2232.33
NUSA TENGGARA TIMUR;1014;2099;312.79
KALIMANTAN BARAT;422;847;1277.13
KALIMANTAN TENGAH;395;913;982.49
KALIMANTAN SELATAN;1490;2416;1620.55
KALIMANTAN TIMUR;1112;2224;2169.39
KALIMANTAN UTARA;196;318;56.87
SULAWESI UTARA;406;744;1331.35
SULAWESI TENGAH;515;957;1049.77
SULAWESI SELATAN;1823;3791;2413.83
SULAWESI TENGGARA;996;1931;630.81
GORONTALO;214;344;408.69
SULAWESI BARAT;112;252;125.91
MALUKU;294;491;201
MALUKU UTARA;33;119;184.66
PAPUA BARAT;83;208;207.16
PAPUA;186;461;439.72
